cc	ps3_f	ps3_d	ps4_f	ps4_d	ps5_f	ps5_d
276	-	-	-	-	-	-
392	-	-	-	-	-	-
826	-	-	-	-	-	-
840	-	-	-	-	-	-
JP	2.21.9.111	23.213.232.108	23.60.116.201	23.212.185.13	23.8.64.145	23.53.127.167
US	23.219.87.10	23.1.254.225	23.60.116.201	23.213.232.108	23.8.64.145	23.46.176.53
Us	23.219.87.10	23.1.254.225	23.60.116.201	23.213.232.108	23.8.64.145	23.46.176.43
ac	-	-	-	-	-	-
ad	-	-	-	-	-	-
ae	-	-	-	-	-	-
af	-	-	-	-	-	-
ag	-	-	-	-	-	-
ai	-	-	-	-	-	-
al	-	-	-	-	-	-
all	-	-	-	-	-	-
am	-	-	-	-	-	-
ao	-	-	-	-	-	-
ap	-	-	-	-	-	-
apac	-	-	-	-	-	-
aq	-	-	-	-	-	-
ar	-	-	-	-	-	-
as	-	-	-	-	-	-
asia	-	-	-	-	-	-
at	-	-	-	-	-	-
au	23.219.87.10	23.213.232.108	23.60.116.201	23.219.87.14	23.8.64.145	23.53.127.167
aus	-	-	-	-	-	-
aw	-	-	-	-	-	-
ax	-	-	-	-	-	-
az	-	-	-	-	-	-
ba	-	-	-	-	-	-
bb	-	-	-	-	-	-
bd	-	-	-	-	-	-
be	-	-	-	-	-	-
bf	-	-	-	-	-	-
bg	-	-	-	-	-	-
bh	-	-	-	-	-	-
bi	-	-	-	-	-	-
bj	-	-	-	-	-	-
bl	-	-	-	-	-	-
bm	-	-	-	-	-	-
bn	-	-	-	-	-	-
bo	-	-	-	-	-	-
bq	-	-	-	-	-	-
br	2.21.9.111	23.1.254.214	23.60.116.201	23.213.232.108	23.8.64.145	23.53.127.167
bra	-	-	-	-	-	-
bs	-	-	-	-	-	-
bt	-	-	-	-	-	-
bv	-	-	-	-	-	-
bw	-	-	-	-	-	-
by	-	-	-	-	-	-
bz	-	-	-	-	-	-
ca	-	-	-	-	-	-
can	-	-	-	-	-	-
cc	-	-	-	-	-	-
cd	-	-	-	-	-	-
cf	-	-	-	-	-	-
cg	-	-	-	-	-	-
ch	-	-	-	-	-	-
chn	-	-	-	-	-	-
ci	-	-	-	-	-	-
ck	-	-	-	-	-	-
cl	-	-	-	-	-	-
cm	-	-	-	-	-	-
cn	23.219.87.10	23.1.254.225	23.60.116.201	23.213.232.109	23.8.64.145	23.53.127.167
co	-	-	-	-	-	-
cr	-	-	-	-	-	-
cu	-	-	-	-	-	-
cv	-	-	-	-	-	-
cw	-	-	-	-	-	-
cx	-	-	-	-	-	-
cy	-	-	-	-	-	-
cz	-	-	-	-	-	-
de	-	-	-	-	-	-
deu	-	-	-	-	-	-
dj	-	-	-	-	-	-
dk	-	-	-	-	-	-
dm	-	-	-	-	-	-
do	-	-	-	-	-	-
dz	-	-	-	-	-	-
ec	-	-	-	-	-	-
ee	-	-	-	-	-	-
eg	-	-	-	-	-	-
eh	-	-	-	-	-	-
emea	-	-	-	-	-	-
en	-	-	-	-	-	-
er	-	-	-	-	-	-
es	-	-	-	-	-	-
esp	-	-	-	-	-	-
et	-	-	-	-	-	-
eu	2.21.9.111	23.1.254.214	23.60.116.201	23.212.185.13	23.8.64.145	23.53.127.145
fi	-	-	-	-	-	-
fj	-	-	-	-	-	-
fk	-	-	-	-	-	-
fm	-	-	-	-	-	-
fo	-	-	-	-	-	-
fr	-	-	-	-	-	-
fra	-	-	-	-	-	-
ga	-	-	-	-	-	-
gb	-	-	-	-	-	-
gbr	-	-	-	-	-	-
gd	-	-	-	-	-	-
ge	-	-	-	-	-	-
gf	-	-	-	-	-	-
gg	-	-	-	-	-	-
gh	-	-	-	-	-	-
gi	-	-	-	-	-	-
gl	-	-	-	-	-	-
gm	-	-	-	-	-	-
gn	-	-	-	-	-	-
gp	-	-	-	-	-	-
gq	-	-	-	-	-	-
gr	-	-	-	-	-	-
gs	-	-	-	-	-	-
gt	-	-	-	-	-	-
gu	-	-	-	-	-	-
gw	-	-	-	-	-	-
gy	-	-	-	-	-	-
hk	-	-	-	-	-	-
hm	-	-	-	-	-	-
hn	-	-	-	-	-	-
hr	-	-	-	-	-	-
ht	-	-	-	-	-	-
hu	-	-	-	-	-	-
id	-	-	-	-	-	-
ie	-	-	-	-	-	-
il	-	-	-	-	-	-
im	-	-	-	-	-	-
in	-	-	-	-	-	-
intl	-	-	-	-	-	-
io	-	-	-	-	-	-
iq	-	-	-	-	-	-
ir	-	-	-	-	-	-
is	-	-	-	-	-	-
it	-	-	-	-	-	-
ita	-	-	-	-	-	-
je	-	-	-	-	-	-
jm	-	-	-	-	-	-
jo	-	-	-	-	-	-
jp	2.21.9.111	23.213.232.108	23.60.116.201	23.212.185.13	23.8.64.145	23.53.127.167
jpn	-	-	-	-	-	-
ke	-	-	-	-	-	-
kg	-	-	-	-	-	-
kh	-	-	-	-	-	-
ki	-	-	-	-	-	-
km	-	-	-	-	-	-
kn	-	-	-	-	-	-
kor	-	-	-	-	-	-
kp	-	-	-	-	-	-
kr	23.213.232.108	23.212.185.13	23.60.116.201	23.212.185.13	23.8.64.145	23.53.127.167
kw	-	-	-	-	-	-
ky	-	-	-	-	-	-
kz	-	-	-	-	-	-
la	-	-	-	-	-	-
latam	-	-	-	-	-	-
lb	-	-	-	-	-	-
lc	-	-	-	-	-	-
li	-	-	-	-	-	-
lk	-	-	-	-	-	-
lr	-	-	-	-	-	-
ls	-	-	-	-	-	-
lt	-	-	-	-	-	-
lu	-	-	-	-	-	-
lv	-	-	-	-	-	-
ly	-	-	-	-	-	-
ma	-	-	-	-	-	-
mc	-	-	-	-	-	-
md	-	-	-	-	-	-
me	-	-	-	-	-	-
mex	-	-	-	-	-	-
mf	-	-	-	-	-	-
mg	-	-	-	-	-	-
mh	-	-	-	-	-	-
mk	-	-	-	-	-	-
ml	-	-	-	-	-	-
mm	-	-	-	-	-	-
mn	-	-	-	-	-	-
mo	-	-	-	-	-	-
mp	-	-	-	-	-	-
mq	-	-	-	-	-	-
mr	-	-	-	-	-	-
ms	-	-	-	-	-	-
mt	-	-	-	-	-	-
mu	-	-	-	-	-	-
mv	-	-	-	-	-	-
mw	-	-	-	-	-	-
mx	2.21.9.111	23.1.254.225	23.60.116.201	23.213.232.108	23.8.64.145	23.53.127.201
my	-	-	-	-	-	-
mz	-	-	-	-	-	-
na	-	-	-	-	-	-
nc	-	-	-	-	-	-
ne	-	-	-	-	-	-
nf	-	-	-	-	-	-
ng	-	-	-	-	-	-
ni	-	-	-	-	-	-
nl	-	-	-	-	-	-
nld	-	-	-	-	-	-
no	-	-	-	-	-	-
np	-	-	-	-	-	-
nr	-	-	-	-	-	-
nu	-	-	-	-	-	-
nz	-	-	-	-	-	-
om	-	-	-	-	-	-
pa	-	-	-	-	-	-
pe	-	-	-	-	-	-
pf	-	-	-	-	-	-
pg	-	-	-	-	-	-
ph	-	-	-	-	-	-
pk	-	-	-	-	-	-
pl	-	-	-	-	-	-
pm	-	-	-	-	-	-
pn	-	-	-	-	-	-
pr	-	-	-	-	-	-
ps	-	-	-	-	-	-
pt	-	-	-	-	-	-
pw	-	-	-	-	-	-
py	-	-	-	-	-	-
qa	-	-	-	-	-	-
re	-	-	-	-	-	-
ro	-	-	-	-	-	-
rs	-	-	-	-	-	-
ru	2.21.9.119	23.1.254.214	23.60.116.201	23.212.185.13	23.8.64.145	23.53.127.201
rus	-	-	-	-	-	-
rw	-	-	-	-	-	-
sa	2.21.9.119	23.1.254.214	23.60.116.201	23.219.87.10	23.8.64.145	2.20.178.215
sau	-	-	-	-	-	-
sb	-	-	-	-	-	-
sc	-	-	-	-	-	-
sd	-	-	-	-	-	-
se	-	-	-	-	-	-
sg	-	-	-	-	-	-
sh	-	-	-	-	-	-
si	-	-	-	-	-	-
sj	-	-	-	-	-	-
sk	-	-	-	-	-	-
sl	-	-	-	-	-	-
sm	-	-	-	-	-	-
sn	-	-	-	-	-	-
so	-	-	-	-	-	-
sr	-	-	-	-	-	-
ss	-	-	-	-	-	-
st	-	-	-	-	-	-
su	-	-	-	-	-	-
sv	-	-	-	-	-	-
sx	-	-	-	-	-	-
sy	-	-	-	-	-	-
sz	-	-	-	-	-	-
tc	-	-	-	-	-	-
td	-	-	-	-	-	-
tf	-	-	-	-	-	-
tg	-	-	-	-	-	-
th	-	-	-	-	-	-
tj	-	-	-	-	-	-
tk	-	-	-	-	-	-
tl	-	-	-	-	-	-
tm	-	-	-	-	-	-
tn	-	-	-	-	-	-
to	-	-	-	-	-	-
tr	-	-	-	-	-	-
tt	-	-	-	-	-	-
tv	-	-	-	-	-	-
tw	23.213.232.108	23.1.254.225	23.60.116.201	23.213.232.108	23.8.64.145	23.53.127.167
twn	-	-	-	-	-	-
tz	-	-	-	-	-	-
u	-	-	-	-	-	-
uS	23.219.87.10	23.1.254.225	23.60.116.201	23.212.185.13	23.8.64.145	23.46.176.43
ua	-	-	-	-	-	-
ug	-	-	-	-	-	-
uk	23.212.185.13	23.1.254.225	23.60.116.201	2.21.9.119	23.8.64.145	2.20.178.200
um	-	-	-	-	-	-
us	23.219.87.14	23.1.254.225	23.60.116.201	23.213.232.108	23.8.64.145	23.46.176.43
usa	-	-	-	-	-	-
usx	-	-	-	-	-	-
uy	-	-	-	-	-	-
uz	-	-	-	-	-	-
va	-	-	-	-	-	-
vc	-	-	-	-	-	-
ve	-	-	-	-	-	-
vg	-	-	-	-	-	-
vi	-	-	-	-	-	-
vn	-	-	-	-	-	-
vu	-	-	-	-	-	-
wf	-	-	-	-	-	-
world	-	-	-	-	-	-
ws	-	-	-	-	-	-
x	-	-	-	-	-	-
xx	-	-	-	-	-	-
ye	-	-	-	-	-	-
yt	-	-	-	-	-	-
za	-	-	-	-	-	-
zm	-	-	-	-	-	-
zw	-	-	-	-	-	-
zz	-	-	-	-	-	-
